 to your browser, в ваш браузер
The system provides many pre-defined roles. You can add new roles to set finer permissions.,Система предоставляет множество предустановленных ролей. Вы можете добавить новые роли для более тонкой настройки прав.
The user from this field will be rewarded points,Пользователь из этого поля будет вознаграждён баллами
The webhook will be triggered if this expression is true,"Вебхук сработает, если это выражение истинно"
The {0} is already on auto repeat {1},Для {0} уже включён автоповтор {1}
Theme,Тема
Theme Configuration,Конфигурация темы
Theme URL,URL темы
There are documents which have workflow states that do not exist in this Workflow. It is recommended that you add these states to the Workflow and change their states before removing these states.,"Есть документы, в которых есть состояния рабочего процесса, которых нет в этом рабочем процессе. Рекомендуется добавить эти состояния в рабочий процесс и изменить их состояния перед удалением этих состояний."
There are some linked records which needs to be created before we can import your file. Do you want to create the following missing records automatically?,"Есть несколько связанных записей, которые необходимо создать, прежде чем мы сможем импортировать ваш файл. Вы хотите автоматически создать следующие отсутствующие записи?"
There are {0} with the same filters already in the queue:,В очереди уже есть {0} с такими фильтрами:
There can be only one Fold in a form,В форме может быть только одно сворачивание (Fold)
There is an error in your Address Template {0},Ошибка в вашем шаблоне адреса {0}
There is no data to be exported,Нет данных для экспорта
There is some problem with the file url: {0},Проблема с URL файла: {0}
There is {0} with the same filters already in the queue:,В очереди уже есть {0} с такими фильтрами:
There must be atleast one permission rule.,Должно быть хотя бы одно правило доступа.
"There seems to be an issue with the server's braintree configuration. Don't worry, in case of failure, the amount will get refunded to your account.","Похоже, проблема с конфигурацией braintree на сервере. Не беспокойтесь: в случае сбоя сумма вернётся на ваш счёт."
There should be atleast one row for the following tables: {0},Должна быть как минимум одна строка для следующих таблиц: {0}
There should be atleast one row for {0} table,Должна быть хотя бы одна строка для таблицы {0}
There should remain at least one System Manager,Должен быть хотя бы один менеджер системы
There was an error building this page,При создании этой страницы произошла ошибка
There was an error saving filters,При сохранении фильтров произошла ошибка
There were errors,Были ошибки
There were errors while creating the document. Please try again.,"При создании документа возникли ошибки. Пожалуйста, попробуйте ещё раз."
There were errors while sending email. Please try again.,При отправке письма возникли ошибки. Попробуйте ещё раз.
"There were some errors setting the name, please contact the administrator","При установке имени возникли ошибки, пожалуйста, свяжитесь с администратором"
These values will be automatically updated in transactions and also will be useful to restrict permissions for this user on transactions containing these values.,"Эти значения будут автоматически подставляться в операции, а также помогут ограничить права этого пользователя на операции с этими значениями."
Third Party Apps,Сторонние приложения
Third Party Authentication,Сторонняя аутентификация
This Currency is disabled. Enable to use in transactions,Эта валюта отключена. Включите для использования в операциях
This Kanban Board will be private,Эта канбан-доска будет личной
This Month,Этот месяц
This Quarter,Этот квартал
This Week,Эта неделя
This Year,Этот год
This action is only allowed for {},Это действие разрешено только для {}
This cannot be undone,Это действие нельзя отменить
This card will be available to all Users if this is set,"Если включено, эта карточка будет доступна всем пользователям"
This chart will be available to all Users if this is set,"Если включено, эта диаграмма будет доступна всем пользователям"
This document cannot be reverted,Этот документ нельзя вернуть к прежнему состоянию
This document has been modified after the email was sent.,Этот документ был изменён после отправки письма.
This document has been reverted,Этот документ был возвращён к прежнему состоянию
"This document is already amended, you cannot ammend it again","Этот документ уже исправлен, его нельзя исправить повторно"
This document is currently queued for execution. Please try again,"Этот документ сейчас в очереди на выполнение. Пожалуйста, попробуйте ещё раз"
This email is autogenerated,Это письмо сгенерировано автоматически
This email was sent to {0},Это письмо было отправлено на адрес {0}
This email was sent to {0} and copied to {1},"Это письмо было отправлено на адрес {0}, копия — на {1}"
This feature is brand new and still experimental,Эта функция совсем новая и пока экспериментальная
This field will appear only if the fieldname defined here has value OR the rules are true (examples):\nmyfield\neval:doc.myfield=='My Value'\neval:doc.age&gt;18,"Это поле появится, только если указанное здесь имя поля имеет значение ИЛИ правила истинны (примеры):\nmyfield\neval:doc.myfield=='My Value'\neval:doc.age&gt;18"
This form does not have any input,В этой форме нет полей для ввода
This form has been modified after you have loaded it,"Эта форма была изменена после того, как вы её загрузили"
This format is used if country specific format is not found,"Этот формат используется, если не найден формат для конкретной страны"
This goes above the slideshow.,Это располагается над слайд-шоу.
This is a background report. Please set the appropriate filters and then generate a new one.,Это фоновый отчёт. Установите нужные фильтры и сгенерируйте новый.
This is a top-10 common password.,Это один из 10 самых распространённых паролей.
This is a top-100 common password.,Это один из 100 самых распространённых паролей.
This is a very common password.,Это очень распространённый пароль.
This is an automatically generated reply,Это автоматически сгенерированный ответ
This is an example Google SERP Preview.,Это пример предпросмотра в выдаче Google (SERP).
This is similar to a commonly used password.,Это похоже на часто используемый пароль.
This is the number of the last created transaction with this prefix,Это номер последней созданной операции с этим префиксом
This is the template file generated with only the rows having some error. You should use this file for correction and import.,"Это файл шаблона, содержащий только строки с ошибками. Используйте его для исправления и повторного импорта."
This link has already been activated for verification.,Эта ссылка уже была активирована для проверки.
This link is invalid or expired. Please make sure you have pasted correctly.,"Эта ссылка недействительна или истекла. Убедитесь, что вы вставили её правильно."
This may get printed on multiple pages,Это может быть напечатано на нескольких страницах
This month,Этот месяц
This query style is discontinued,Этот стиль запросов больше не поддерживается
This report was generated on {0},Этот отчёт был создан {0}
This report was generated {0}.,Этот отчёт был создан {0}.
This request has not yet been approved by the user.,Этот запрос ещё не был одобрен пользователем.
This role update User Permissions for a user,Эта роль обновляет права пользователей
This title will be used as the title of the webpage as well as in meta tags,"Этот заголовок будет использоваться как заголовок веб-страницы, а также в метатегах."
"This will be automatically generated when you publish the page, you can also enter a route yourself if you wish",Он будет сгенерирован автоматически при публикации страницы; при желании можно ввести маршрут самостоятельно
This will be shown in a modal after routing,Это будет показано в модальном окне после маршрутизации.
This will be shown to the user in a dialog after routing to the report,Это будет показано пользователю в диалоговом окне после перехода к отчёту
This will log out {0} from all other devices,Это завершит сеансы {0} на всех других устройствах
This will permanently remove your data.,Это навсегда удалит ваши данные.
Thumbnail URL,URL миниатюры
Thursday,Четверг
Time,Время
Time Format,Формат времени
Time Interval,Интервал времени
Time Series,Временные ряды
Time Series Based On,Временной ряд на основе
Time Zone,Часовой пояс
Time Zones,Часовые пояса
Time format,Формат времени
Time in seconds to retain QR code image on server. Min:<strong>240</strong>,"Время хранения изображения QR-кода на сервере, в секундах. Мин.: <strong>240</strong>"
Time series based on is required to create a dashboard chart,Для создания диаграммы дашборда требуется основание временного ряда
Time {0} must be in format: {1},Время {0} должно быть в формате: {1}
Timeline DocType,DocType временной шкалы
Timeline Field,Поле временной шкалы
Timeline Links,Ссылки временной шкалы
Timeline Name,Имя временной шкалы
Timeline field must be a Link or Dynamic Link,Поле временной шкалы должно быть типа Link или Dynamic Link
Timeline field must be a valid fieldname,Поле временной шкалы должно быть допустимым именем поля
Timeseries,Временные ряды
Timespan,Промежуток времени
Timestamp,Временная отметка
Title,Заголовок
Title Case,Каждое слово с заглавной буквы
Title Field,Поле заголовка
Title Prefix,Префикс заголовка
Title field must be a valid fieldname,Поле заголовка должно быть допустимым именем поля
Title of the page,Заголовок страницы
To,По
To Date,По дату
To Date Field,Поле даты окончания
To Do,Список дел
To User,Пользователю
"To add dynamic subject, use jinja tags like\n\n<div><pre><code>New {{ doc.doctype }} #{{ doc.name }}</code></pre></div>","Чтобы сделать тему динамической, используйте теги jinja, например\n\n<div><pre><code>New {{ doc.doctype }} #{{ doc.name }}</code></pre></div>"
"To add dynamic subject, use jinja tags like\n\n<div><pre><code>{{ doc.name }} Delivered</code></pre></div>","Чтобы сделать тему динамической, используйте теги jinja, например\n\n<div><pre><code>{{ doc.name }} Delivered</code></pre></div>"
To and CC,Кому и копия
"To configure Auto Repeat, enable ""Allow Auto Repeat"" from {0}.","Чтобы настроить автоповтор, включите «Разрешить автоповтор» в {0}."
To enable it follow the instructions in the following link: {0},"Чтобы включить его, следуйте инструкциям по следующей ссылке: {0}"
"To get the updated report, click on {0}.","Чтобы получить обновлённый отчёт, нажмите {0}."
To print output use <code>log(text)</code>,Для вывода используйте <code>log(text)</code>
"To use Google Calendar, enable {0}.","Чтобы использовать Google Календарь, включите {0}."
"To use Google Contacts, enable {0}.","Чтобы использовать Google Контакты, включите {0}."
"To use Google Drive, enable {0}.","Чтобы использовать Google Диск, включите {0}."
"To use Google Indexing, enable <a href=""#Form/Google Settings"">Google Settings</a>.","Чтобы использовать индексирование Google, включите <a href=""#Form/Google Settings"">настройки Google</a>."
"To use Slack Channel, add a <a href=""#List/Slack%20Webhook%20URL/List"">Slack Webhook URL</a>.","Чтобы использовать Slack Channel, добавьте <a href=""#List/Slack%20Webhook%20URL/List"">URL-адрес Slack Webhook</a>."
"To use WhatsApp for Business, initialize <a href=""#Form/Twilio Settings"">Twilio Settings</a>.","Чтобы использовать WhatsApp для бизнеса, инициализируйте <a href=""#Form/Twilio Settings"">настройки Twilio</a>."
ToDo,Список задач
Today,Сегодня
Today's Events,Сегодняшние события
Toggle Chart,Переключить диаграмму
Toggle Charts,Переключить диаграммы
Toggle Full Width,Переключить полную ширину
Toggle Grid View,Переключить вид сетки
Toggle Public/Private,Переключить публичный/приватный режим
Toggle Sidebar,Переключить боковую панель
Toggle Theme,Переключить тему
Token,Токен
Token is missing,Токен отсутствует
Too Many Requests,Слишком много запросов
"Too many users signed up recently, so the registration is disabled. Please try back in an hour","Слишком много пользователей зарегистрировались в последнее время, так что регистрация отключена. Пожалуйста, повторите попытку через час"
Too many writes in one request. Please send smaller requests,Слишком много операций записи в одном запросе. Отправляйте запросы меньшего размера
Top,Верх
Top Bar Item,Пункт верхнего меню
Top Bar Items,Пункты верхнего меню
Top Performer,Лучший исполнитель
Top Reviewer,Лучший рецензент
Top {0},Топ {0}
Topic,Тема
Total,Итого
Total Pages,Всего страниц
Total Rows,Всего строк
Total Subscribers,Всего подписчиков
Total number of emails to sync in initial sync process ,Общее количество писем для начальной синхронизации 
Totals,Итоги
Totals Row,Итоговая строка
Traceback,Трассировка
Track Changes,Отслеживать изменения
Track Email Status,Отслеживать статус письма
Track Field,Отслеживаемое поле
Track Seen,Отслеживать просмотр
Track Views,Отслеживать просмотры
"Track if your email has been opened by the recipient.\n<br>\nNote: If you're sending to multiple recipients, even if 1 recipient reads the email, it'll be considered ""Opened""","Отслеживайте, было ли ваше письмо открыто получателем.\n<br>\nПримечание: если вы отправляете нескольким получателям, письмо будет считаться «Открытым», даже если его прочитал только один получатель"
Track milestones for any document,Отслеживайте этапы для любого документа
Tracks milestones on the lifecycle of a document if it undergoes multiple stages.,"Отслеживает этапы жизненного цикла документа, если он проходит несколько этапов."
Transaction Hash,Хэш транзакции
Transaction Log,Журнал транзакций
Transaction Log Report,Отчёт по журналу транзакций
Transgender,Трансгендер
Transition Rules,Правила переходов
Transitions,Переходы
Translatable,Переводимый
Translate {0},Перевести {0}
Translated Message,Переведённое сообщение
Translated Text,Переведённый текст
Translation,Перевод
Translation Tool,Инструмент перевода
Translations,Переводы
Trash,Корзина
Tree,Дерево
Tree structures are implemented using Nested Set,Древовидные структуры реализованы с использованием Nested Set
Tree view is not available for {0},Представление «Дерево» недоступно для {0}
Trigger Method,Метод триггера
Trigger Name,Имя триггера
Trigger Primary Action,Выполнить основное действие
"Trigger on valid methods like ""before_insert"", ""after_update"", etc (will depend on the DocType selected)","Срабатывание по допустимым методам, таким как «before_insert», «after_update» и т. д. (зависит от выбранного DocType)"
Tripura,Трипура
Try to avoid repeated words and characters,Старайтесь избегать повторяющихся слов и символов
Try to use a longer keyboard pattern with more turns,Попробуйте более длинную клавиатурную последовательность с большим числом поворотов
Tuesday,Вторник
Twilio Number,Номер Twilio
Twilio Number Group,Группа номеров Twilio
Twilio Settings,Настройки Twilio
Twilio WhatsApp Message Error,Ошибка сообщения Twilio WhatsApp
Two Factor Authentication,Двухфакторная аутентификация
Two Factor Authentication method,Метод двухфакторной аутентификации
Type,Тип
Type something in the search box to search,Введите что-нибудь в поле поиска
Type:,Тип:
UID,UID
UIDNEXT,UIDNEXT
UIDVALIDITY,UIDVALIDITY
UNSEEN,НЕПРОЧИТАННЫЕ
UPPER CASE,ВЕРХНИЙ РЕГИСТР
"URIs for receiving authorization code once the user allows access, as well as failure responses. Typically a REST endpoint exposed by the Client App.\n<br>e.g. http://hostname//api/method/frappe.www.login.login_via_facebook","URI для получения кода авторизации после того, как пользователь разрешит доступ, а также для ответов об ошибке. Обычно это REST-эндпоинт клиентского приложения.\n<br>Например: http://hostname//api/method/frappe.www.login.login_via_facebook"
URL,URL
URL for documentation or help,URL документации или справки
URL must start with 'http://' or 'https://',URL должен начинаться с «http://» или «https://»
URL of the page,URL страницы
URL to go to on clicking the slideshow image,URL перехода при нажатии на изображение слайд-шоу
URLs,URL-адреса
Unable to find DocType {0},Не удалось найти DocType {0}
Unable to find attachment {0},Не удалось найти вложение {0}
Unable to load camera.,Не удалось получить доступ к камере.
Unable to load: {0},Невозможно загрузить: {0}
Unable to open attached file. Did you export it as CSV?,Невозможно открыть прикреплённый файл. Вы точно экспортировали его в CSV?
Unable to read file format for {0},Не удалось прочитать формат файла для {0}
Unable to send emails at this time,Сейчас невозможно отправить письма
Unable to update event,Не удалось обновить событие
Unable to write file format for {0},Невозможно записать формат файла для {0}
Unassign Condition,Условие снятия назначения
Uncaught Server Exception,Неперехваченное исключение сервера
Unchanged,Без изменений
Under Development,В разработке
Unfollow,Перестать следить
Unhandled Email,Необработанное письмо
Unique,Уникальный
Unknown Column: {0},Неизвестная колонка: {0}
Unknown User,Неизвестный пользователь
Unknown View,Неизвестное представление
"Unknown file encoding. Tried utf-8, windows-1250, windows-1252.","Неизвестная кодировка файла. Испробованы utf-8, windows-1250, windows-1252."
Unpin,Открепить
Unread,Не прочитано
Unread Notification Sent,Отправлено уведомление о непрочитанном
Unselect All,Снять выделение со всех
Unshared,Общий доступ отменён
Unsubscribe,Отписаться
Unsubscribe Method,Метод отписки
Unsubscribe Param,Параметр отписки
Unsubscribed,Отписан
Unsupported File Format,Неподдерживаемый формат файла
Untitled Column,Столбец без заголовка
Untranslated,Непереведённые
Unzip,Распаковать
Unzipped {0} files,Распаковано файлов: {0}
Unzipping files...,Распаковка файлов...
Upcoming Events,Предстоящие события
Upcoming Events for Today,Предстоящие события на сегодня
Update,Обновить
Update Details,Обновить данные
Update Existing Records,Обновить существующие записи
Update Field,Обновляемое поле
Update Series Number,Обновить номер серии
Update Settings,Обновить настройки
Update Translations,Обновить переводы
Update Value,Обновляемое значение
Update many values at one time.,Обновить несколько значений одновременно.
Update records,Обновить записи
Updated,Обновлено
Updated Successfully,Успешно обновлено
Updated To A New Version 🎉,Обновлено до новой версии 🎉
Updated successfully,Успешно обновлено
Updated {0}: {1},Обновлено {0}: {1}
Updating,Обновление
Updating {0},Обновление {0}
"Updating {0} of {1}, {2}","Обновление {0} из {1}, {2}"
Upload,Загрузить
Upload Failed,Загрузка не удалась
Upload failed,Загрузка не удалась
Upload file,Загрузить файл
Upload {0} files,Загрузить {0} файлов
Uploaded To Dropbox,Загружено в Dropbox
Uploaded To Google Drive,Загружено на Google Диск
Uploaded successfully,Успешно загружено
Uploading {0} of {1},Загрузка {0} из {1}
Usage Info,Информация об использовании
Use % for any non empty value.,Используйте % для любого непустого значения.
Use ASCII encoding for password,Использовать кодировку ASCII для пароля
Use Different Email Login ID,Использовать другой логин эл. почты
Use IMAP,Использовать IMAP
Use POST,Использовать POST
Use Report Chart,Использовать диаграмму отчёта
Use SSL,Использовать SSL
Use SSL for Outgoing,Использовать SSL для исходящих
Use Same Name,Использовать то же имя
Use TLS,Использовать TLS
"Use a few words, avoid common phrases.","Используйте несколько слов, избегайте общих фраз."
Use of sub-query or function is restricted,Использование подзапроса или функции ограничено
Use socketio to upload file,Использовать socketio для загрузки файла
Use this fieldname to generate title,Использовать это имя поля для генерации заголовка
Used For Google Maps Integration.,Используется для интеграции с Google Maps.
User,Пользователь
User ,Пользователь 
User '{0}' already has the role '{1}',Пользователь «{0}» уже имеет роль «{1}»
User Agent,User Agent
User Cannot Create,Пользователь не может создавать
User Cannot Search,Пользователь не может искать
User Defaults,Значения по умолчанию пользователя
User Email,Эл. почта пользователя
User Emails,Письма пользователя
User Field,Поле пользователя
User Forum,Форум пользователей
User ID,ID пользователя
User ID Property,Свойство ID пользователя
User ID of a Blogger,ID пользователя-блогера
User Id,ID пользователя
User Image,Изображение пользователя
User Name,Имя пользователя
User Permission,Права пользователя
User Permissions,Права пользователей
User Permissions are used to limit users to specific records.,Права пользователей используются для ограничения доступа пользователей к конкретным записям.
User Permissions created sucessfully,Права пользователей успешно созданы
User Profile,Профиль пользователя
User Roles,Роли пользователей
User Settings,Настройки пользователя
User Social Login,Вход пользователя через соцсети
User Tags,Метки пользователя
User Type,Тип пользователя
User can login using Email id or Mobile number,Пользователь может войти по адресу эл. почты или номеру мобильного телефона
User can login using Email id or User Name,Пользователь может войти по адресу эл. почты или имени пользователя
User does not exist,Пользователь не существует
User editable form on Website.,Редактируемая пользователем форма на сайте.
User is mandatory for Share,Для действия «Поделиться» обязателен пользователь
User must always select,Пользователь всегда должен выбирать
User not allowed to delete {0}: {1},Пользователь не имеет права удалить {0}: {1}
User permission already exists,Право пользователя уже существует
User permissions should not apply for this Link,Права пользователя не должны применяться для этой ссылки
User {0} cannot be deleted,Пользователь {0} не может быть удалён
User {0} cannot be disabled,Пользователь {0} не может быть отключён
User {0} cannot be renamed,Пользователь {0} не может быть переименован
User {0} does not have access to this document,Пользователь {0} не имеет доступа к этому документу
User {0} does not have doctype access via role permission for document {1},Пользователь {0} не имеет доступа к типу документа через права роли для документа {1}
User {0} has requested for data deletion,Пользователь {0} запросил удаление данных
User {0} is disabled,Пользователь {0} отключён
User {0} not found on the producer site,Пользователь {0} не найден на сайте источника
Username,Имя пользователя
Username {0} already exists,Имя пользователя {0} уже существует
Users,Пользователи
Users To Notify,Уведомляемые пользователи
Users and Permissions,Пользователи и права
Users assigned to the reference document will get points.,"Пользователи, назначенные на связанный документ, получат баллы."
Users with role {0}:,Пользователи с ролью {0}:
Uses the Email Address Name mentioned in this Account as the Sender's Name for all emails sent using this Account.,"Использует имя, указанное в этой учётной записи, в качестве имени отправителя для всех писем, отправленных с этой учётной записи."
Uses the Email Address mentioned in this Account as the Sender for all emails sent using this Account. ,"Использует адрес эл. почты, указанный в этой учётной записи, в качестве отправителя для всех писем, отправленных с этой учётной записи. "
Using this console may allow attackers to impersonate you and steal your information. Do not enter or paste code that you do not understand.,Использование этой консоли может позволить злоумышленникам выдать себя за вас и украсть вашу информацию. Не вводите и не вставляйте непонятный код.
Uttar Pradesh,Уттар-Прадеш
Uttarakhand,Уттаракханд
Valid,Действительный
Valid Login id required.,Требуется действительный ID для входа.
Valid email and name required,Требуются действительные email и имя
Validate Field,Проверить поле
Validation Error,Ошибка проверки
Validity,Срок действия
Value,Значение
Value Based On,Значение на основе
Value Change,Изменение значения
Value Changed,Значение изменено
Value To Be Set,"Значение, которое должно быть установлено"
Value cannot be changed for {0},Значение не может быть изменено для {0}
Value cannot be negative for,Значение не может быть отрицательным для
Value cannot be negative for {0}: {1},Значение не может быть отрицательным для {0}: {1}
Value for a check field can be either 0 or 1,Значение для поля-флажка может быть только 0 или 1
Value for field {0} is too long in {1}. Length should be lesser than {2} characters,Значение поля {0} слишком длинное в {1}. Длина должна быть меньше {2} симв.
Value for {0} cannot be a list,Значение {0} не может быть списком
Value from this field will be set as the due date in the ToDo,Значение этого поля будет установлено как срок выполнения в ToDo
Value missing for,Нет значения для
Value must be one of {0},Значение должно быть одним из {0}
Value to Validate,Значение для проверки
Value too big,Слишком большое значение
Value {0} missing for {1},Значение {0} отсутствует для {1}
Value {0} must be in the valid duration format: d h m s,Значение {0} должно иметь допустимый формат продолжительности: д ч м с
Value {0} must in {1} format,Значение {0} должно быть в формате {1}
Values Changed,Значения изменены
Verfication Code,Код проверки
Verification,Верификация
Verification Code,Код подтверждения
Verification Link,Ссылка для подтверждения
Verification code email not sent. Please contact Administrator.,"Письмо с кодом подтверждения не отправлено. Пожалуйста, свяжитесь с администратором."
Verification code has been sent to your registered email address.,Код подтверждения отправлен на указанный при регистрации адрес эл. почты.
Verified,Подтверждено
Verifier,Проверяющий
Verify,Проверить
Verify Password,Подтвердите пароль
Verifying...,Проверка...
Version,Версия
Version Updated,Версия обновлена
Video URL,URL видео
View All,Посмотреть все
View Comment,Посмотреть комментарий
View Full Log,Посмотреть полный журнал
View List,Просмотр списка
View Log,Посмотреть журнал
"View Log of all print, download and export events","Просмотр журнала всех событий печати, скачивания и экспорта"
View Permitted Documents,Просмотр разрешённых документов
View Properties (via Customize Form),Просмотр свойств (через «Настроить форму»)
View Ref,Просмотр Ref
View Report,Посмотреть отчёт
View Settings,Настройки представления
View Website,Посмотреть сайт
View document,Просмотр документа
View report in your browser,Просмотр отчёта в вашем браузере
View this in your browser,Просмотреть это в вашем браузере
View {0},Просмотреть {0}
Viewed By,Кем просмотрено
Visit,Посетите
Visit Web Page,Посетить веб-страницу
Visitor,Посетитель
Warehouse,Склад
Warning,Предупреждение
Warning: Unable to find {0} in any table related to {1},"Предупреждение: невозможно найти {0} ни в одной таблице, связанной с {1}"
Was this article helpful?,Эта статья была полезной?
Watch Video,Смотреть видео
We have received a request for deletion of {0} data associated with: {1},"Мы получили запрос на удаление {0} данных, связанных с: {1}"
We have received a request from you to download your {0} data associated with: {1},"Мы получили от вас запрос на скачивание данных {0}, связанных с: {1}"
Web Form,Веб-форма
Web Form Field,Поле веб-формы
Web Form Fields,Поля веб-формы
Web Link,Веб-ссылка
Web Page,Веб-страница
Web Page Block,Блок веб-страницы
Web Page Link Text,Текст ссылки веб-страницы
Web Page View,Просмотр веб-страницы
Web Site,Веб-сайт
Web Template,Веб-шаблон
Web Template Field,Поле веб-шаблона
Web Template Values,Значения веб-шаблона
Web View,Веб-представление
Webhook,Webhook
Webhook Data,Данные Webhook
Webhook Header,Заголовок Webhook
Webhook Headers,Заголовки Webhook
Webhook Request,Запрос вебхука
Webhook Secret,Секрет вебхука
Webhook Security,Безопасность вебхука
Webhook Trigger,Триггер вебхука
Webhook URL,URL вебхука
Webhooks calling API requests into web apps,"Webhooks, вызывающие запросы API в веб-приложениях"
Website,Сайт
Website Analytics,Веб-аналитика
Website Manager,Менеджер сайта
Website Meta Tag,Метатег веб-сайта
Website Route Meta,Мета маршрута сайта
Website Route Redirect,Перенаправление маршрута веб-сайта
Website Script,Скрипт сайта
Website Settings,Настройки сайта
Website Sidebar,Боковая панель сайта
Website Sidebar Item,Пункт боковой панели сайта
Website Slideshow,Слайд-шоу сайта
Website Slideshow Item,Элемент слайд-шоу сайта
Website Theme,Тема сайта
Website Theme Ignore App,Игнорируемое приложение темы сайта
Website Theme Image,Изображение темы сайта
Website Theme Image Link,Ссылка на изображение темы сайта
Website User,Пользователь сайта
Wednesday,Среда
Week,Неделя
Weekdays,Будни
Weekly,Еженедельно
Weekly Long,Еженедельно (длинные)
Welcome Email Template,Шаблон приветственного письма
Welcome Message,Приветственное сообщение
Welcome email sent,Приветственное письмо отправлено
Welcome to {0},Добро пожаловать в {0}
West Bengal,Западная Бенгалия
"When enabled this will allow guests to upload files to your application, You can enable this if you wish to collect files from user without having them to log in, for example in job applications web form.","Если включено, гости смогут загружать файлы в ваше приложение. Включите, если хотите получать файлы от пользователей без входа в систему — например, в веб-форме отклика на вакансию."
"When you Amend a document after Cancel and save it, it will get a new number that is a version of the old number.","Когда вы исправляете (Amend) документ после отмены и сохраняете его, он получает новый номер — версию старого номера."
Which view of the associated DocType should this shortcut take you to?,Какое представление связанного DocType должен открывать этот ярлык?
Width,Ширина
Widths can be set in px or %.,Ширину можно задать в px или %.
Wildcard Filter,Фильтр с подстановочными знаками
"Will add ""%"" before and after the query",Добавит «%» до и после запроса
Will be used in url (usually first name).,Будет использоваться в URL (обычно имя).
Will be your login ID,Будет вашим логином для входа
Will only be shown if section headings are enabled,"Будет показано, только если заголовки разделов включены"
Will run scheduled jobs only once a day for inactive sites. Default 4 days if set to 0.,"Запланированные задания будут запускаться только один раз в день для неактивных сайтов. По умолчанию 4 дня, если установлено значение 0."
With Letter head,С печатным бланком
With Letterhead,С печатным бланком
Worflow States Don't Exist,Состояния рабочего процесса не существуют
Workflow,Рабочий процесс
Workflow Action,Действие рабочего процесса
Workflow Action Master,Справочник действий рабочего процесса
Workflow Action Name,Название действия рабочего процесса
Workflow Action is not created for optional states,Действие рабочего процесса не создано для необязательных состояний
Workflow Document State,Состояние документа рабочего процесса
Workflow Name,Название рабочего процесса
Workflow State,Состояние рабочего процесса
Workflow State Field,Поле состояния рабочего процесса
Workflow State not set,Состояние рабочего процесса не установлено
Workflow State transition not allowed from {0} to {1},Переход состояния рабочего процесса из {0} в {1} не разрешён
Workflow Status,Состояние рабочего процесса
Workflow Transition,Переход рабочего процесса
Workflow state represents the current state of a document.,Состояние рабочего процесса отражает текущее состояние документа.
Write,Запись
Wrong Fetch From value,Неверное значение «Извлечь из»
Wrong fieldname <b>{0}</b> in add_fetch configuration of custom script,Неверное имя поля <b>{0}</b> в конфигурации add_fetch пользовательского скрипта
X Axis Field,Поле оси X
X Field,Поле X
Y Axis,Ось Y
Y Axis Fields,Поля оси Y
Y Field,Поле Y
Yandex.Mail,Яндекс.Почта
Year,Год
Yearly,Ежегодно
Yes,Да
Yesterday,Вчера
You,Вы
You are connected to internet.,Вы подключены к интернету.
You are not allowed to access this {0} record because it is linked to {1} '{2}' in field {3},"У вас нет доступа к этой записи {0}, так как она связана с {1} «{2}» в поле {3}"
